Adress,City,Street name,Postal code,Latitude,Longitude,Rooms,Property type,Elevator,Balcony/Terrace,Energy label,Price,Province,Days on Market,Link,Off. vurdering,Home size,Monthly expense,Ground size
Sejs Søvej 73,Silkeborg,Sejs Søvej 73,8600,56.13407,9.612222,4 værelser,Villa,,,C,6495000,Østjylland,1 dag,https://www.boligsiden.dk/addresses/0a3f50c2-0280-32b8-e044-0003ba298018,3.938.000,152,4.161,1117
Kildedalen 5,Svenstrup J,Kildedalen 5,9230,56.94989,9.897466,5 værelser,Villa,,,A2015,3998000,Nordjylland,211 dage,https://www.boligsiden.dk/addresses/52a18578-1f22-48a1-bf7e-6f97af0dde0a,,172,2.501,1105
Nyledsbakken 18,Nykøbing Sj,Nyledsbakken 18,4500,55.92169,11.651442,3 værelser,Villa,,,C,1250000,Vest- og Sydsjælland,75 dage,https://www.boligsiden.dk/addresses/0a3f50ae-1119-32b8-e044-0003ba298018,1.065.000,72,1.481,705
Bagsværdvej 100,Kongens Lyngby,Bagsværdvej 100,2800,55.76492,12.48101,6 værelser,Villa,,,D,9495000,Københavns omegn,Til salg i alt:63dage,https://www.boligsiden.dk/addresses/0a3f50a4-3081-32b8-e044-0003ba298018,9.139.000,191,6.146,1027
Stavangervej 7,Hjørring,Stavangervej 7,9800,57.463486,9.964433,4 værelser,Villa,,,D,1345000,Nordjylland,454 dage,https://www.boligsiden.dk/addresses/0a3f50c8-40d9-32b8-e044-0003ba298018,1.394.000,158,1.836,810
Buddinge Hovedgade 263,Bagsværd,Buddinge Hovedgade 263,2880,55.75224,12.468239,8 værelser,Villa,,,C,7900000,Københavns omegn,15 dage,https://www.boligsiden.dk/addresses/0a3f50a4-3616-32b8-e044-0003ba298018,11.667.000,270,6.941,818
Fårevej 80B,Bøvlingbjerg,Fårevej 80B,7650,56.45318,8.243188,4 værelser,Landejendom/Villa,,,E,599999,Vestjylland,181 dage,https://www.boligsiden.dk/addresses/0a3f50be-6a1b-32b8-e044-0003ba298018,267.000,147,1.331,28729
Mylius Erichsens Vej 41,Aalborg SØ,Mylius Erichsens Vej 41,9210,57.023315,9.932393,5 værelser,Villa,,,B,2498000,Nordjylland,156 dage,https://www.boligsiden.dk/addresses/0a3f50ca-67fe-32b8-e044-0003ba298018,3.376.000,173,2.639,745
Højvangsparken 14,Holbæk,Højvangsparken 14,4300,55.74802,11.612219,5 værelser,Villa,,,E,2495000,Vest- og Sydsjælland,51 dage,https://www.boligsiden.dk/addresses/0a3f50ad-4059-32b8-e044-0003ba298018,1.579.000,135,2.135,1002
Kløvervænget 14,Grindsted,Kløvervænget 14,7200,55.767006,8.912077,4 værelser,Villa,,,C,1195000,Sydjylland,15 dage,https://www.boligsiden.dk/addresses/0a3f50b9-8909-32b8-e044-0003ba298018,1.106.000,108,1.136,739
Granvangen 17,Brædstrup,Granvangen 17,8740,56.01807,9.642983,6 værelser,Villa,,,,2395000,Østjylland,65 dage,https://www.boligsiden.dk/addresses/0a3f50ba-4037-32b8-e044-0003ba298018,2.108.000,191,1.764,888
Nygade 1,Bjerringbro,Nygade 1,8850,,,5 værelser,Villa,,,D,825000,Vestjylland,62 dage,https://www.boligsiden.dk/addresses/9ae97cff-4302-4c88-b4bd-a8ffcbc2fa26,,140,1.574,234
Rævdalslunden 66,Dronninglund,Rævdalslunden 66,9330,57.15352,10.297488,6 værelser,Villa,,,B,3095000,Nordjylland,54 dage,https://www.boligsiden.dk/addresses/5687be88-ef71-4268-9d63-219143b62c17,2.530.000,165,1.627,1182
Nørholm Alle 3,Kastrup,Nørholm Alle 3,2770,55.61973,12.601057,6 værelser,Villa,,,C,5995000,Byen København,1 dag,https://www.boligsiden.dk/addresses/0a3f50a7-5ad3-32b8-e044-0003ba298018,3.988.000,167,3.873,634
Atterupvej 54,Hvalsø,Atterupvej 54,4330,55.543262,11.910469,4 værelser,Villa,,,C,1695000,Østsjælland,6 dage,https://www.boligsiden.dk/addresses/0a3f50ab-4982-32b8-e044-0003ba298018,1.229.000,114,2.508,366
Stenrøjel 11,Greve,Stenrøjel 11,2670,55.60392,12.318327,7 værelser,Villa,,,E,4295000,Østsjælland,33 dage,https://www.boligsiden.dk/addresses/0a3f50ab-1d76-32b8-e044-0003ba298018,4.515.000,198,3.393,771
Fuglebakken 117,Odense NV,Fuglebakken 117,5210,55.41591,10.320496,7 værelser,Villa,,,C,2998000,Fyn,282 dage,https://www.boligsiden.dk/addresses/0a3f50b3-e04f-32b8-e044-0003ba298018,3.832.000,207,2.857,1013
Vibevej 4,Læsø,Vibevej 4,9940,57.31873,11.132322,6 værelser,Villa/Fritidsbolig,,,E,1495000,Nordjylland,8 dage,https://www.boligsiden.dk/addresses/0a3f50c8-7d3a-32b8-e044-0003ba298018,687.000,151,1.167,833
Anton Nielsensvej 2,Kalundborg,Anton Nielsensvej 2,4400,55.631416,11.161895,4 værelser,Villa,,,D,950000,Vest- og Sydsjælland,12 dage,https://www.boligsiden.dk/addresses/0a3f50ad-7656-32b8-e044-0003ba298018,789.000,127,1.43,675
Vråvej 504,Vrå,Vråvej 504,9760,57.365074,9.837491,3 værelser,Villa/Fritidsbolig,,,C,395000,Nordjylland,313 dage,https://www.boligsiden.dk/addresses/0a3f50c8-b063-32b8-e044-0003ba298018,206.000,103,759.0,193
Harrestrup Allé 3,Valby,Harrestrup Allé 3,2500,55.646255,12.503623,4 værelser,Villa,,,E,5595000,Byen København,256 dage,https://www.boligsiden.dk/addresses/0a3f509e-8ece-32b8-e044-0003ba298018,,87,3.645,591
Gadekærvej 2,Fårevejle,Gadekærvej 2,4540,55.794266,11.421142,6 værelser,Villa,,,D,3595000,Vest- og Sydsjælland,1 dag,https://www.boligsiden.dk/addresses/0a3f50ac-b66d-32b8-e044-0003ba298018,1.973.000,209,2.292,10406
Adelvej 36,Risskov,Adelvej 36,8240,56.19457,10.254946,7 værelser,Villa,,,C,12995000,Østjylland,62 dage,https://www.boligsiden.dk/addresses/0a3f50c2-658b-32b8-e044-0003ba298018,9.619.000,191,6.563,788
Hækkevej 4,Frederikssund,Hækkevej 4,3600,55.849415,12.062835,4 værelser,Villa,,,C,2495000,Nordsjælland,29 dage,https://www.boligsiden.dk/addresses/0a3f50a8-57ca-32b8-e044-0003ba298018,2.450.000,136,2.769,788
Bækkelunds Have 27,Odense NV,Bækkelunds Have 27,5210,55.40855,10.300138,8 værelser,Villa,,,,5995000,Fyn,Til salg i alt:29dage,https://www.boligsiden.dk/addresses/17269718-3f49-4262-b59b-29116c802bf4,5.378.000,223,3.364,1149
Enghegnet 21,Grenaa,Enghegnet 21,8500,56.411583,10.890741,5 værelser,Villa,,,D,1045000,Østjylland,65 dage,https://www.boligsiden.dk/addresses/0a3f50bf-c830-32b8-e044-0003ba298018,1.218.000,140,1.569,700
Kastrupvej 11,Holbæk,Kastrupvej 11,4300,55.76281,11.681713,7 værelser,Villa,,,B,4995000,Vest- og Sydsjælland,72 dage,https://www.boligsiden.dk/addresses/0a3f50ad-4571-32b8-e044-0003ba298018,2.910.000,189,2.831,3210
Elme Alle 15,Kibæk,Elme Alle 15,6933,56.030983,8.857615,5 værelser,Villa,,,C,1495000,Vestjylland,5 dage,https://www.boligsiden.dk/addresses/0a3f50bf-569f-32b8-e044-0003ba298018,971.000,154,1.144,1025
Ulstrupvej 40,Langå,Ulstrupvej 40,8870,56.40014,9.873592,5 værelser,Villa/Landejendom,,,F,2595000,Østjylland,Til salg i alt:14dage,https://www.boligsiden.dk/addresses/0a3f50c0-45ff-32b8-e044-0003ba298018,2.297.000,207,3.143,8517
Højlundsvej 3,Værløse,Højlundsvej 3,3500,55.77898,12.385486,6 værelser,Villa,,,D,6350000,Nordsjælland,257 dage,https://www.boligsiden.dk/addresses/0a3f50a7-9f97-32b8-e044-0003ba298018,,180,5.012,849
Gl. Toldbodvej 3A,Bogense,Gl. Toldbodvej 3A,5400,55.561207,10.092181,5 værelser,Villa,,,E,1495000,Fyn,330 dage,https://www.boligsiden.dk/addresses/0a3f50b2-5bfd-32b8-e044-0003ba298018,1.610.000,125,1.762,699
Aslundvej 53,Vodskov,Aslundvej 53,9310,57.080738,10.150465,4 værelser,Villa,,,,1795000,Nordjylland,68 dage,https://www.boligsiden.dk/addresses/0a3f50c7-ba9a-32b8-e044-0003ba298018,,120,1.727,5105
Rundforbivej 22,Vedbæk,Rundforbivej 22,2950,55.836227,12.5451565,5 værelser,Villa,,,A2015,14800000,Nordsjælland,175 dage,https://www.boligsiden.dk/addresses/61d2f91c-82f0-4c89-93d4-2c001f13a4f1,13.945.000,218,11.65,1676
Mosestedet 63,Værløse,Mosestedet 63,3500,55.792484,12.365928,6 værelser,Villa,,,C,6500000,Nordsjælland,5 dage,https://www.boligsiden.dk/addresses/0a3f50a7-a398-32b8-e044-0003ba298018,5.584.000,172,3.633,530
Drastrup Skovvej 8,Aalborg SV,Drastrup Skovvej 8,9200,57.00418,9.8647175,5 værelser,Villa,,,B,3099000,Nordjylland,64 dage,https://www.boligsiden.dk/addresses/0a3f50c9-e528-32b8-e044-0003ba298018,1.588.000,129,1.559,788
Søbyvej 29,Trustrup,Søbyvej 29,8570,56.3769,10.692429,5 værelser,Villa,,,G,145000,Østjylland,65 dage,https://www.boligsiden.dk/addresses/0a3f50bf-e25d-32b8-e044-0003ba298018,,131,1.252,708
Ljørringvej 15,Aulum,Ljørringvej 15,7490,56.244583,8.803528,4 værelser,Villa,,,E,595000,Vestjylland,426 dage,https://www.boligsiden.dk/addresses/0a3f50bd-1977-32b8-e044-0003ba298018,787.000,140,1.178,849
Dortheavej 21,Borre,Dortheavej 21,4791,54.956017,12.472959,5 værelser,Villa,,,D,2495000,Vest- og Sydsjælland,54 dage,https://www.boligsiden.dk/addresses/0a3f50af-dd86-32b8-e044-0003ba298018,1.879.000,239,2.126,931
Sviegade 41,Bramming,Sviegade 41,6740,55.43217,8.639294,5 værelser,Villa,,,D,1398000,Sydjylland,2 dage,https://www.boligsiden.dk/addresses/0a3f50b8-b1bd-32b8-e044-0003ba298018,1.251.000,159,1.459,700
Bjernevej 22,Faaborg,Bjernevej 22,5600,55.10235,10.225348,5 værelser,Villa,,,D,1995000,Fyn,27 dage,https://www.boligsiden.dk/addresses/0a3f50b2-9b19-32b8-e044-0003ba298018,1.766.000,144,2.103,570
Grækenlandsvej 135,København S,Grækenlandsvej 135,2300,55.642532,12.622075,5 værelser,Villa,,,D,8750000,Byen København,70 dage,https://www.boligsiden.dk/addresses/0a3f509e-640f-32b8-e044-0003ba298018,7.684.000,125,5.358,599
Vagtelvej 37,Kolind,Vagtelvej 37,8560,56.362213,10.577148,4 værelser,Villa,,,E,1595000,Østjylland,641 dage,https://www.boligsiden.dk/addresses/0a3f50c0-6599-32b8-e044-0003ba298018,1.588.000,123,1.947,952
Ribe Landevej 148,Vejle,Ribe Landevej 148,7100,55.699852,9.508595,3 værelser,Villa,,,C,1550000,Sydjylland,36 dage,https://www.boligsiden.dk/addresses/0a3f50bc-ea5c-32b8-e044-0003ba298018,1.730.000,79,2.402,805
Amagervej 1,Frederikshavn,Amagervej 1,9900,57.472527,10.414242,4 værelser,Villa,,,D,595000,Nordjylland,12 dage,https://www.boligsiden.dk/addresses/0a3f50c7-4c28-32b8-e044-0003ba298018,406.000,144,1.17,309
Rynkebyvej 16,Ringe,Rynkebyvej 16,5750,55.253983,10.467397,6 værelser,Villa,,,C,1395000,Fyn,61 dage,https://www.boligsiden.dk/addresses/0a3f50b5-3777-32b8-e044-0003ba298018,1.800.000,229,2.072,1035
Dortheasvej 26,Børkop,Dortheasvej 26,7080,55.638035,9.648442,5 værelser,Villa,,,E,1825000,Sydjylland,63 dage,https://www.boligsiden.dk/addresses/0a3f50ba-52c9-32b8-e044-0003ba298018,1.752.000,136,1.957,806
Ahlmannsvej 10,Gråsten,Ahlmannsvej 10,6300,54.91593,9.587616,4 værelser,Villa,,,D,1595000,Sydjylland,96 dage,https://www.boligsiden.dk/addresses/0a3f50b6-9359-32b8-e044-0003ba298018,1.369.000,142,1.969,800
Flintebjerg 37,Lejre,Flintebjerg 37,4320,55.570026,11.961954,6 værelser,Villa,,,C,3995000,Østsjælland,69 dage,https://www.boligsiden.dk/addresses/1b974be1-7b49-60d6-e044-0003ba298018,3.553.000,160,2.747,700
Dyrhave 27,Aabenraa,Dyrhave 27,6200,55.05152,9.47164,10 værelser,Villa,,,D,9500000,Sydjylland,33 dage,https://www.boligsiden.dk/addresses/0a3f50b8-2a70-32b8-e044-0003ba298018,4.006.000,358,3.461,2889
Ejlstrupvej 163,Odense V,Ejlstrupvej 163,5200,55.404633,10.275644,3 værelser,Villa,,,D,1595000,Fyn,50 dage,https://www.boligsiden.dk/addresses/0a3f50b3-cadd-32b8-e044-0003ba298018,1.557.000,80,1.618,940
Skolestien 17,Esbjerg V,Skolestien 17,6710,55.525276,8.355208,5 værelser,Villa,,,C,4498000,Sydjylland,286 dage,https://www.boligsiden.dk/addresses/2374c2e5-990f-3ff2-e044-0003ba298018,4.580.000,212,3.791,848
Tommestrupvej 23,Store Heddinge,Tommestrupvej 23,4660,55.298344,12.439417,5 værelser,Villa,,,F,1595000,Vest- og Sydsjælland,5 dage,https://www.boligsiden.dk/addresses/0a3f50b1-5b8a-32b8-e044-0003ba298018,1.681.000,150,2.186,4697
Emilievej 39,Frederikshavn,Emilievej 39,9900,57.43369,10.526621,6 værelser,Villa,,,C,1295000,Nordjylland,438 dage,https://www.boligsiden.dk/addresses/0a3f50c7-5703-32b8-e044-0003ba298018,1.525.000,143,1.107,321
Torneåvej 17B,Ikast,Torneåvej 17B,7430,56.14037,9.172775,4 værelser,Villa,,,E,2195000,Vestjylland,57 dage,https://www.boligsiden.dk/addresses/0a3f50be-5f23-32b8-e044-0003ba298018,2.766.000,214,2.426,1987
Trankærvej 1,Vestervig,Trankærvej 1,7770,56.790318,8.331015,4 værelser,Villa,,,E,615000,Nordjylland,866 dage,https://www.boligsiden.dk/addresses/0a3f50c5-fae7-32b8-e044-0003ba298018,395.000,84,1.237,4139
Grønnevang 334,Gilleleje,Grønnevang 334,3250,56.11694,12.31865,5 værelser,Villa,,,C,3775000,Nordsjælland,214 dage,https://www.boligsiden.dk/addresses/0a3f50a8-bd78-32b8-e044-0003ba298018,3.784.000,154,3.312,885
Vestervang 80,Brørup,Vestervang 80,6650,55.477966,9.010467,6 værelser,Villa,,,C,3395000,Sydjylland,73 dage,https://www.boligsiden.dk/addresses/22729a66-a61f-44d0-e044-0003ba298018,2.790.000,228,2.318,1326
Nordtoften 20,Skælskør,Nordtoften 20,4230,55.261814,11.273133,5 værelser,Villa,,,E,1345000,Vest- og Sydsjælland,Til salg i alt:2dage,https://www.boligsiden.dk/addresses/0a3f50ae-6bd8-32b8-e044-0003ba298018,1.309.000,136,1.923,1223
Kelstrupvej 32,Vig,Kelstrupvej 32,4560,55.830208,11.567787,4 værelser,Villa,,,D,1195000,Vest- og Sydsjælland,422 dage,https://www.boligsiden.dk/addresses/0a3f50af-331c-32b8-e044-0003ba298018,1.066.000,158,1.383,810
Bakkevænget 10,Aabybro,Bakkevænget 10,9440,57.069523,9.717876,5 værelser,Villa,,,D,695000,Nordjylland,68 dage,https://www.boligsiden.dk/addresses/0a3f50c9-9b06-32b8-e044-0003ba298018,885.000,152,1.433,1197
Havlundsvej 36,Egå,Havlundsvej 36,8250,56.231346,10.326961,6 værelser,Villa,,,C,7495000,Østjylland,234 dage,https://www.boligsiden.dk/addresses/0a3f50c3-1512-32b8-e044-0003ba298018,7.304.000,175,5.849,1000
Vestertorp 12,Herning,Vestertorp 12,7400,56.14541,9.0561905,4 værelser,Villa,,,C,2295000,Vestjylland,284 dage,https://www.boligsiden.dk/addresses/0a3f50bd-be9b-32b8-e044-0003ba298018,1.744.000,140,1.649,1103
Sommerfuglevej 2,Rødovre,Sommerfuglevej 2,2610,55.70458,12.447374,7 værelser,Villa,,,C,5995000,Københavns omegn,23 dage,https://www.boligsiden.dk/addresses/0a3f50a6-b415-32b8-e044-0003ba298018,5.838.000,208,4.879,882
Planetvej 53,Ebeltoft,Planetvej 53,8400,56.20617,10.689076,6 værelser,Villa,,,B,2598000,Østjylland,6 dage,https://www.boligsiden.dk/addresses/0a3f50bf-88f6-32b8-e044-0003ba298018,2.184.000,238,2.747,1818
Brinken 161,Næstved,Brinken 161,4700,55.175697,11.862462,5 værelser,Villa,,,C,3195000,Vest- og Sydsjælland,22 dage,https://www.boligsiden.dk/addresses/0a3f50af-88fb-32b8-e044-0003ba298018,2.986.000,171,2.311,1079
Smedegade 26,Sønderborg,Smedegade 26,6400,54.9923,9.65994,4 værelser,Villa,,,F,850000,Sydjylland,50 dage,https://www.boligsiden.dk/addresses/0a3f50b7-7edb-32b8-e044-0003ba298018,675.000,117,1.42,964
Mosehøj 1,Slangerup,Mosehøj 1,3550,55.856247,12.168172,5 værelser,Villa,,,E,3395000,Nordsjælland,Til salg i alt:318dage,https://www.boligsiden.dk/addresses/0a3f50aa-9295-32b8-e044-0003ba298018,2.992.000,133,3.667,850
Vester Ballingvej 21,Spøttrup,Vester Ballingvej 21,7860,56.630844,8.8432045,6 værelser,Villa,,,E,575000,Vestjylland,6 dage,https://www.boligsiden.dk/addresses/0a3f50c5-d1bd-32b8-e044-0003ba298018,660.000,144,1.174,6022
Jovavej 17,Kolding,Jovavej 17,6000,55.477844,9.466154,7 værelser,Villa,,,D,2795000,Sydjylland,Til salg i alt:68dage,https://www.boligsiden.dk/addresses/0a3f50bc-0e7c-32b8-e044-0003ba298018,2.201.000,138,2.461,717
Svinget 8,Fårup,Svinget 8,8990,56.538177,9.827009,5 værelser,Villa,,,C,1995000,Østjylland,Til salg i alt:6dage,https://www.boligsiden.dk/addresses/0a3f50c0-cb64-32b8-e044-0003ba298018,1.362.000,171,2.137,5808
Regnar Juels Vej 3,Aalborg SØ,Regnar Juels Vej 3,9210,57.01325,9.928939,6 værelser,Villa,,,D,2495000,Nordjylland,Til salg i alt:57dage,https://www.boligsiden.dk/addresses/0a3f50ca-8e4d-32b8-e044-0003ba298018,2.830.000,209,2.202,712
Skovkanten 29,Skørping,Skovkanten 29,9520,56.85191,9.887883,6 værelser,Villa,,,,5495000,Nordjylland,Til salg i alt:7dage,https://www.boligsiden.dk/addresses/52709050-7a6c-4fa6-bf0d-782c0d31c614,,194,3.336,1087
Enggårdsparken 10,Fredericia,Enggårdsparken 10,7000,55.621338,9.784511,5 værelser,Villa,,,A2015,3375000,Sydjylland,54 dage,https://www.boligsiden.dk/addresses/fce14814-7a64-4032-ab54-bad007646797,3.225.000,165,2.499,800
Kirkevænget 68,Tranbjerg J,Kirkevænget 68,8310,56.083775,10.128871,7 værelser,Villa,,,C,3995000,Østjylland,474 dage,https://www.boligsiden.dk/addresses/0a3f50c3-65f6-32b8-e044-0003ba298018,4.992.000,178,3.312,993
